FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
UA	CN	33.07	0	33.07	33.07	33.07
AE	CN	553.29	0.844	299.881	575.791	1072.156
GB	CN	18911.55	0.875	28539.348	56339.086	134716.495
US	CN	78489.56	0.552	138751.518	179804.194	262622.222
UG	CN	9.56	0	0	0	0
UZ	CN	0.27	0	0	0	0
VU	CN	54.66	0	0	0	0
VE	CN	16.15	0	0.362	4.213	45.486
VN	CN	7.49	0.999	8.163	74.217	669.434
VG	CN	328084.63	0.847	0	0	0
YE	CN	10.14	0	0	0	0
ZM	CN	39.83	0	0	0	0
ZW	CN	2.80	0	0	0	0
n.a.	CN	191315.90	0	0	0	0
AF	BR	0.11	0	0	0	0
DZ	BR	-0.30	0	0	0	0
AD	BR	2.44	0	2.436	2.436	2.436
AO	BR	-29.85	0	1.17	9.383	97.298
AI	BR	77.65	0	0	0	0
AR	BR	-967.54	0	1002.813	2631.2	5487.048
AW	BR	0.91	0	0	0	0
AU	BR	2885.67	0.653	2668.946	3857.284	6837.116
AT	BR	905.12	0.899	509.234	1049.695	2110.999
BS	BR	683.29	0	0	0	0
BH	BR	1.24	0	0	0	0
BD	BR	-0.03	0	0	0	0
BB	BR	459.88	0	0	0	0
BY	BR	0.80	0	0	0	0
BE	BR	9608.20	0.881	12126.98	27664.37	56721.17
BZ	BR	51.46	0	0	0	0
BJ	BR	-1.32	0	0	0	0
BM	BR	3291.81	0.834	0	0	0
BO	BR	36.79	0	0	0	0
BW	BR	0.02	0	0	0	0
BR	BR	0.00	0	7122.769	11614.39	18360.83
BN	BR	15.65	0	0	0	0
BG	BR	0.24	0	0	0	0
KH	BR	0.10	0	0	0	0
CA	BR	8561.89	0.619	9367.086	12947.49	19111.61
KY	BR	2578.67	0.912	0	0	0
CF	BR	-0.02	0	0	0	0
CL	BR	8828.13	0.844	2352.752	5222.739	7849.582
HK	BR	1639.63	0.684	60.448	205.333	806.14
MO	BR	-45.76	0	0.207	3.092	33.572
CN	BR	1815.11	0	6447.371	9623.574	18747.18
CO	BR	875.84	0.047	862.251	876.635	905.915
CD	BR	-0.10	0	0	0	0
CR	BR	24.98	0	0	0	0
CI	BR	-0.12	0	0	0	0
HR	BR	0.00	0	0.006	0.118	3.027
CU	BR	-11.64	0	0	0	0
CW	BR	533.16	0.471	0	0	0
CY	BR	266.75	0	0.203	2.801	35.376
CZ	BR	3.45	0	3.421	26.747	302.549
DK	BR	887.20	0.843	678.125	1178.867	2927.754
DO	BR	13.02	0	0	0	0
EC	BR	-0.76	0	0	0	0
EG	BR	-0.29	0	0	0	0
SV	BR	-0.81	0	0	0	0
GQ	BR	-0.61	0	0	0	0
EE	BR	0.89	0	0.13	1.59	22.657
ET	BR	1.11	0	0	0	0
FI	BR	389.97	0.719	332.087	536.933	1773.667
FR	BR	21788.65	0.427	25562.68	31248.64	38904.81
GA	BR	0.91	0	0	0	0
DE	BR	12465.70	0.417	13853.61	17080.01	24265.05
GH	BR	-0.18	0	0	0	0
GI	BR	10.48	0	0	0	0
GR	BR	3.27	0.864	27.799	88.763	497.107
GD	BR	0.33	0	0	0	0
GT	BR	0.60	0	0	0	0
GG	BR	151.98	0	0	0	0
GW	BR	0.77	0	0	0	0
GY	BR	-0.03	0	0	0	0
HN	BR	5.00	0	0	0	0
HU	BR	381.35	0.781	2.021	31.553	247.226
IS	BR	6.43	0	6.616	8.668	27.193
IN	BR	91.79	0	4160.221	9107.356	17780
ID	BR	40.62	0	29.455	132.95	522.059
IR	BR	113.56	0	0.044	0.624	9.404
IQ	BR	-0.03	0	0	0	0
IE	BR	2650.90	0.762	11.285	74.086	458.265
IM	BR	43.79	0	0	0	0
IL	BR	210.77	0.429	442.421	991.597	3092.63
IT	BR	4621.61	0.578	13079.06	20246.46	31603.72
JM	BR	-0.10	0	0	0	0
JP	BR	18960.88	0.027	21908.24	24787.67	31108.75
JE	BR	579.60	0.862	0	0	0
KZ	BR	-0.07	0	13.886	76.385	490.733
KE	BR	-1.05	0	0	0.002	0.149
KR	BR	2825.70	0	3072.429	3768.574	6129.594
KW	BR	-0.05	0	41.306	199.195	1037.195
LA	BR	0.00	0	0	0	0
KV	BR	0.61	0	0	0	0
LB	BR	21.43	0	1.187	9.289	74.273
LR	BR	21.47	0	0.392	4.864	39.235
LY	BR	0.00	0	651.812	1664.531	2469.524
LI	BR	87.52	0.952	6.135	56.374	85.67
LT	BR	-0.30	0	0	0	0
LU	BR	34732.09	0.877	137.313	589.889	2458.961
MG	BR	0.00	0	0	0	0
MW	BR	-0.29	0	0	0	0
MY	BR	57.95	0	116.715	203.928	513.633
MT	BR	47.90	0.224	0	0	0
MH	BR	49.93	0.96	0	0	0
MU	BR	17.41	0.948	0	0	0
MX	BR	9631.65	0.042	9477.841	9639.077	9877.495
MC	BR	106.32	0	0.515	5.616	66.395
MA	BR	1.69	0	0	0	0
MZ	BR	-6.85	0	0	0	0
NL	BR	110210.06	0.884	3119.776	9137.915	22366.9
NZ	BR	42.01	0.367	55.829	136.947	677.061
NI	BR	-0.63	0	0	0	0
NG	BR	-11.60	0	0	0	0
NO	BR	4260.48	0.773	3330.038	5403.688	11720
PK	BR	-0.22	0	0	0	0
PA	BR	1444.03	0.79	451.667	1102.295	1386.438
PY	BR	21.98	0	0	0	0
PE	BR	44.44	0.61	46.305	106.942	540.91
PH	BR	15.89	0	15.893	15.893	15.893
PL	BR	3.80	0	4.296	7.507	39.63
PT	BR	3833.35	0.854	9559.955	17578.34	32749.4
QA	BR	0.09	0	0	0	0
RO	BR	0.97	0	0.975	0.975	0.975
RU	BR	37.37	0.738	49.075	116.792	464.778
WS	BR	27.84	0	0	0	0
ST	BR	0.23	0	0	0	0
SA	BR	3.95	0	18.184	95.19	720.885
RS	BR	-0.22	0	0	0	0
SC	BR	22.40	0	0	0	0
SG	BR	1187.98	0.922	295.293	783.94	1371.856
SK	BR	3.06	0	0.006	0.096	1.611
SI	BR	0.36	0.867	0.083	0.32	0.358
ZA	BR	483.57	0	1290.894	3105.488	7849.208
ES	BR	57426.14	0.524	36530.04	47136.68	53544.61
LK	BR	0.03	0	0	0	0
KN	BR	11.60	0	0	0	0
LC	BR	0.93	0	0	0	0
VC	BR	89.91	0	0	0	0
SD	BR	-0.31	0	0	0	0
SR	BR	-0.10	0	0	0	0
SE	BR	3564.87	0.847	1786.383	3206.568	4649.649
CH	BR	12586.79	0.856	8171.657	13830.15	26096.67
TW	BR	18.09	0	443.305	760.213	1656.578
TZ	BR	-0.35	0	0	0	0
