Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
IN		NL	CN	23.24308611	31.84582281	2
IE		NL	CN	6.189619453	8.480522915	2
US	IE	NL	CN	17.92965953	24.56578949	2
IL		NL	CN	55.52423033	76.07487201	2
IT		NL	CN	4.534618337	6.212972383	2
JP		NL	CN	319.4213617	437.645674	2
US	LU	NL	CN	13.26736216	18.17788148	2
MY		NL	CN	10.51312963	14.40425173	2
MX		NL	CN	20.56725841	28.17961711	2
MC		NL	CN	19.57676407	26.82252077	2
FR	NL		CN	1281.137405	1755.312294	2
DE	NL		CN	12.36738017	16.94479794	2
IE	NL		CN	10.14285089	13.89692534	2
IL	NL		CN	48.47213855	66.4126583	2
IT	NL		CN	214.054273	293.2800928	2
KW	NL		CN	362.5780327	496.7755026	2
NL			CN	4982.050046	6826.007625	2
NO	NL		CN	0.920829229	1.261646768	2
SE	NL		CN	1295.779625	1775.373896	2
TR	NL		CN	19.51632803	26.73971612	2
GB	NL		CN	665.8990121	912.361717	2
US	NL		CN	573.3174205	785.513804	2
n.a.	NL		CN	2.632262747	3.606516477	2
NO		NL	CN	5.46037598	7.48137167	2
PL		NL	CN	0.042863285	0.058727854	2
SA		NL	CN	458.3656328	628.0160326	2
SG		NL	CN	33.79640748	46.30514206	2
ES		NL	CN	3.384539196	4.637225668	2
SE		NL	CN	50.90073386	69.74012589	2
SE	CH	NL	CN	3.803006024	5.210575542	2
CH		NL	CN	581.7236205	797.0313089	2
TW		NL	CN	6.845217301	9.378770799	2
TR		NL	CN	19.83505202	27.17640631	2
SE	GB	NL	CN	0.518640602	0.710599988	2
